 TOT   INH   IND
   -     -     -      Data.Vector.Storable.Mutable basicUnsafeNew (2485)
   -     -     -        Control.Monad.Primitive primitive (2485)
   -     -     -      Data.Vector.Storable basicUnsafeCopy (2485)
   -     -     -    Numeric.Optimization.NLOPT.Bindings setScalar.\ (4970)
   -     -     -    Numeric.Optimization.NLOPT.Bindings set_min_objective.\ (2485)


   -     -     -  Data.Hashable.Class hashWithSalt (5990)
   -     -     -    Data.Hashable.Class hashWithSalt1 (11980)
   -     -     -      Data.Hashable.Class liftHashWithSalt (5990)
   -     -     -        Data.Hashable.Class defaultLiftHashWithSalt (5990)
   -     -     -          Data.Hashable.Class liftHashWithSalt2 (7500)
   -     -     -            Data.Hashable.Class hashWithSalt (0)
   -     -     -              Data.Hashable.Class defaultHashWithSalt (2995)
   -     -     -                Data.Hashable.Class hash (1485)
   -     -     -                Data.Hashable.LowLevel hashInt (1510)
   -     -     -              Data.Hashable.LowLevel hashInt (1510)
   -     -     -            Algorithm.EqSat.Egraph hashWithSalt (1485)


   -     -     -  System.Random.Internal genWord8 (0)
   -     -     -    System.Random.Internal genWord8 (0)
   -     -     -      System.Random.Internal genWord8 (0)
   -     -     -        System.Random.Internal genWord32 (0)
   -     -     -          System.Random.SplitMix nextWord32 (34831)
   -     -     -            System.Random.SplitMix nextWord32.(...) (34831)
   -     -     -              System.Random.SplitMix nextWord64 (34831)


   -     -     -  Data.SRTree.Eval ** (0)


  .7     -     -  Data.SRTree.Eval * (0)
  .6     -     -    Data.Massiv.Array.Delayed.Pull multiplicationPointwise (8134)
